RFP,Winner,Neighborhood,Address,ZipCode,Use 1,Use 2,Use 3,Use 4,Status
Pioneer Bank RFP,TBD,Humboldt Park,4000 W. North Ave.,60639,Library,Latino Cultural and Community Hub,Retail,,Soliciting
Pioneer Bank RFP,TBD,Humboldt Park,4008 W. North Ave. ,60639,Library,Latino Cultural and Community Hub,Retail,,Soliciting
Pioneer Bank RFP,TBD,Humboldt Park,1616 N. Pulaski Road,60639,Affordable Housing,Latino Cultural and Community Hub,Retail,,Soliciting
Pioneer Bank RFP,TBD,Humboldt Park,1638 N. Pulaski Road,60639,Affordable Housing,Latino Cultural and Community Hub,Retail,,Soliciting
two contiguous parcels,TBD,Humboldt Park,3601 W. Chicago Ave.,60651,Retail,NHS,Housing,,Soliciting
two contiguous parcels,TBD,Humboldt Park,3625 W. Chicago Ave.,60651,Retail,NHS,Housing,,Soliciting
16 parcels on 2 sites,TBD,South Shore,7843 S. Escanaba Ave,60649,Retail,Restaurant,Grocery,,Soliciting
16 parcels on 2 sites,TBD,South Shore,7850 S. Escanaba Ave.,60649,Retail,Restaurant,Grocery,,Soliciting
16 parcels on 2 sites,TBD,South Shore,2910 E. 79th St.,60649,Retail,Restaurant,Grocery,,Soliciting
16 parcels on 2 sites,TBD,South Shore,2924 E. 79th St. ,60649,Retail,Restaurant,Grocery,,Soliciting
16 parcels on 2 sites,TBD,South Shore,7901 S. Exchange Ave,60617,Retail,Restaurant,Grocery,,Soliciting
16 parcels on 2 sites,TBD,South Shore,7933 S. Exchange Ave,60617,Retail,Restaurant,Grocery,,Soliciting
Walbash,TBD,Bronzeville,5021 South Wabash Avenue,60615,Retail,Restaurant,Cultural,Grocery,Soliciting
47th and King Drive,TBD,Bronzeville,449 E 47th St.,60609,Retail,Office,Housing,,Reviewing
47th and King Drive,TBD,Bronzeville,451 E 47th St.,60609,Retail,Office,Housing,,Reviewing
S. Commercial Ave,TBD,South Chicago,8840 S. Commercial Ave,60617,Retail,Affordable Housing,Cultural,Grocery,Reviewing
S. Commercial Ave,TBD,South Chicago,8844 S. Commercial Ave,60617,Retail,Affordable Housing,Cultural,Grocery,Reviewing
S. Commercial Ave,TBD,South Chicago,8850 S. Commercial Ave,60617,Retail,Affordable Housing,Cultural,Grocery,Reviewing
Back of the Yards,TBD,New City,1515 W. 47th St.,60609,Affordable Housing,Medical,Cultural,Social Service,Reviewing
Roosevelt & Kostner,TBD,North Lawndale,4300 W. Roosevelt Road,60624,Industrial,,,,Reviewing
Roosevelt & Kostner,TBD,North Lawndale,4301 W. 5th Ave.,60624,Industrial,,,,Reviewing
"West Ogden, South Trumbull",TBD,North Lawndale,3400 W. Ogden Ave.,60623,Grocery,Restaurants,Retail,,Reviewing
"West Ogden, South Trumbull",TBD,North Lawndale,3408 W. Ogden Ave.,60623,Grocery,Restaurants,Retail,,Reviewing
"West Ogden, South Trumbull",TBD,North Lawndale,3412 W. Ogden Ave.,60623,Grocery,Restaurants,Retail,,Reviewing
"West Ogden, South Trumbull",TBD,North Lawndale,3414 W. Ogden Ave.,60623,Grocery,Restaurants,Retail,,Reviewing
"West Ogden, South Trumbull",TBD,North Lawndale,3418 W. Ogden Ave.,60623,Grocery,Restaurants,Retail,,Reviewing
"West Ogden, South Trumbull",TBD,North Lawndale,1819 S. Trumbull Ave,60623,Grocery,Restaurants,Retail,,Reviewing
Laramie State Bank,Austin United Alliance,Austin,5200 W. Chicago Ave.,60651,Museum,Bank,Cafe,Office,Awarded
Laramie State Bank,Austin United Alliance,Austin,5224 W. Chicago Ave.,60651,Museum,Bank,Cafe,Office,Awarded
6 Parcels,Evergreen Imagine,Auburn Gresham,838 W. 79th St.,60619,Housing,Retail,,,Awarded
6 Parcels,Evergreen Imagine,Auburn Gresham,858 W. 79th St.,60619,Housing,Retail,,,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6204 S. Green St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6215 S. Green St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6217 S. Green St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6219 S. Green St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6221 S. Green St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6223 S. Green St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,6231 S. Sangamon St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
Englewood Square Phase II,Englewood Connect,Englewood,914 W. 63rd St,60621,Grocery,Office ,Cultural Center,Farming,Awarded
